,Longitude,Latitude,Crime type
,-2.400647,51.38854,Sex Offence
,-2.379183,51.385824,ABSO
,-2.38626,51.391727,ABSO
,-2.383888,51.386465,ABSO
,-2.379183,51.385824,ABSO
,-2.381514,51.384486,ABSO
,-2.387449,51.384466,ABSO
,-2.383948,51.385125,Arson
,-2.383459,51.388499,Sex Offence
,-2.380676,51.385622,Sex Offence
,-2.387449,51.384466,Sex Offence
,-2.368555,51.381192,ABSO
,-2.362753,51.38156,ABSO
,-2.365727,51.381515,ABSO
,-2.363053,51.381362,ABSO
,-2.363626,51.381126,ABSO
,-2.365727,51.381515,ABSO
,-2.365727,51.381515,ABSO
,-2.365727,51.381515,ABSO
,-2.363053,51.381362,ABSO
,-2.367401,51.380629,ABSO
,-2.363733,51.3802,ABSO
,-2.365727,51.381515,ABSO
,-2.367401,51.380629,ABSO
,-2.368922,51.382125,ABSO
,-2.363053,51.381362,ABSO
,-2.363733,51.3802,ABSO
,-2.368555,51.381192,ABSO
,-2.365727,51.381515,ABSO
,-2.368555,51.381192,ABSO
,-2.363053,51.381362,ABSO
,-2.368555,51.381192,ABSO
,-2.364884,51.380358,ABSO
,-2.364045,51.381466,ABSO
,-2.362661,51.382613,ABSO
,-2.364045,51.381466,ABSO
,-2.363235,51.378897,ABSO
,-2.364045,51.381466,ABSO
,-2.364884,51.380358,ABSO
,-2.363235,51.378897,ABSO
,-2.365745,51.38013,ABSO
,-2.365727,51.381515,ABSO
,-2.365727,51.381515,ABSO
,-2.365727,51.381515,ABSO
,-2.365745,51.38013,ABSO
,-2.362753,51.38156,ABSO
,-2.362661,51.382613,ABSO
,-2.368555,51.381192,ABSO
,-2.365727,51.381515,ABSO
,-2.364045,51.381466,ABSO
,-2.368922,51.382125,ABSO
,-2.365727,51.381515,ABSO
,-2.363733,51.3802,ABSO
,-2.363053,51.381362,ABSO
,-2.365727,51.381515,ABSO
,-2.364884,51.380358,ABSO
,-2.365727,51.381515,ABSO
,-2.363733,51.3802,ABSO
,-2.365745,51.38013,ABSO
,-2.362661,51.382613,ABSO
,-2.363626,51.381126,Bike theft
,-2.363053,51.381362,Bike theft
,-2.368922,51.382125,Bike theft
,-2.368922,51.382125,Bike theft
,-2.368922,51.382125,Arson
,-2.363626,51.381126,Arson
,-2.363748,51.382016,Arson
,-2.36519,51.382614,Arson
,-2.364884,51.380358,Other theft
,-2.368555,51.381192,Other theft
,-2.364884,51.380358,Other theft
,-2.364884,51.380358,Other theft
,-2.368555,51.381192,Public order
,-2.368555,51.381192,Public order
,-2.362661,51.382613,Public order
,-2.363626,51.381126,Shoplifting
,-2.368555,51.381192,Shoplifting
,-2.368555,51.381192,Shoplifting
,-2.368555,51.381192,Shoplifting
,-2.368555,51.381192,Shoplifting
,-2.368555,51.381192,Shoplifting
,-2.362753,51.38156,Shoplifting
,-2.368555,51.381192,Shoplifting
,-2.368555,51.381192,Shoplifting
,-2.368555,51.381192,Shoplifting
,-2.368555,51.381192,Mugging
,-2.365745,51.38013,Sex Offence
,-2.363626,51.381126,Sex Offence
,-2.363543,51.381522,Sex Offence
,-2.368555,51.381192,Sex Offence
,-2.364045,51.381466,Sex Offence
,-2.362661,51.382613,Sex Offence
,-2.368922,51.382125,Sex Offence
,-2.363305,51.382359,Sex Offence
,-2.372903,51.384073,ABSO
,-2.372903,51.384073,ABSO
,-2.372903,51.384073,ABSO
,-2.372903,51.384073,ABSO
,-2.365764,51.382513,ABSO
,-2.376812,51.385814,ABSO
,-2.369759,51.382671,ABSO
,-2.371114,51.384933,ABSO
,-2.369507,51.3834,ABSO
,-2.371114,51.384933,ABSO
,-2.372903,51.384073,Burglary
,-2.376812,51.385814,Arson
,-2.371114,51.384933,Arson
,-2.372903,51.384073,Arson
,-2.370958,51.383414,Other theft
,-2.37642,51.38533,Other theft
,-2.366419,51.387277,Other theft
,-2.369507,51.3834,Public order
,-2.37642,51.38533,Sex Offence
,-2.368086,51.387244,Sex Offence
,-2.37642,51.38533,Sex Offence
,-2.320563,51.405835,ABSO
,-2.317403,51.412533,ABSO
,-2.321796,51.4095,Burglary
,-2.316403,51.411331,Other theft
,-2.321796,51.4095,Vehicle crime
,-2.319731,51.397871,ABSO
,-2.299572,51.399111,Sex Offence
,-2.391433,51.411779,ABSO
,-2.404228,51.426284,Burglary
,-2.430783,51.402262,Arson
,-2.348527,51.415493,Drugs
,-2.404228,51.426284,Vehicle crime
,-2.302583,51.41099,Other theft
,-2.320483,51.392384,ABSO
,-2.3292,51.393457,ABSO
,-2.325767,51.395777,ABSO
,-2.332307,51.393771,Arson
,-2.3292,51.393457,Sex Offence
,-2.33935,51.352983,ABSO
,-2.33935,51.352983,ABSO
,-2.33935,51.352983,ABSO
,-2.33935,51.352983,ABSO
,-2.33935,51.352983,ABSO
,-2.33935,51.352983,ABSO
,-2.359756,51.351259,Arson
,-2.313296,51.335522,Arson
,-2.392687,51.37864,ABSO
,-2.389094,51.3768,ABSO
,-2.397139,51.375074,Sex Offence
,-2.392301,51.377194,Sex Offence
,-2.389094,51.3768,Sex Offence
,-2.404242,51.374105,ABSO
,-2.404242,51.374105,ABSO
,-2.404799,51.376981,ABSO
,-2.404242,51.374105,ABSO
,-2.404242,51.374105,ABSO
,-2.404242,51.374105,ABSO
,-2.403703,51.376526,ABSO
,-2.404242,51.374105,Burglary
,-2.401956,51.375525,Arson
,-2.403703,51.376526,Other theft
,-2.407677,51.37751,Sex Offence
,-2.407677,51.37751,Sex Offence
,-2.405404,51.381987,ABSO
,-2.405353,51.381088,ABSO
,-2.407099,51.381909,ABSO
,-2.405404,51.381987,ABSO
,-2.403613,51.380995,ABSO
,-2.405404,51.381987,ABSO
,-2.401539,51.382027,ABSO
,-2.405404,51.381987,ABSO
,-2.407099,51.381909,Burglary
,-2.405469,51.379649,Arson
,-2.403613,51.380995,Arson
,-2.407099,51.381909,Drugs
,-2.407099,51.381909,Sex Offence
,-2.401539,51.382027,Sex Offence
,-2.401539,51.382027,Sex Offence
,-2.404029,51.379267,Sex Offence
,-2.397287,51.378895,ABSO
,-2.397036,51.379705,ABSO
,-2.402792,51.377419,ABSO
,-2.393546,51.379896,ABSO
,-2.399797,51.381647,ABSO
,-2.399797,51.381647,ABSO
,-2.397263,51.381098,Burglary
,-2.397263,51.381098,Burglary
,-2.399338,51.380128,Arson
,-2.397263,51.381098,Arson
,-2.397287,51.378895,Arson
,-2.401168,51.382289,Drugs
,-2.397263,51.381098,Drugs
,-2.393546,51.379896,Other theft
,-2.395136,51.379414,Other theft
,-2.395136,51.379414,Other theft
,-2.402381,51.378059,Other theft
,-2.395136,51.379414,Other theft
,-2.395136,51.379414,Shoplifting
,-2.395136,51.379414,Sex Offence
,-2.397263,51.381098,Sex Offence
,-2.395304,51.380484,Other crime
,-2.330756,51.38001,ABSO
,-2.343547,51.388074,Burglary
,-2.342133,51.37959,Arson
,-2.330581,51.375649,Drugs
,-2.330756,51.38001,Vehicle crime
,-2.330581,51.375649,Sex Offence
,-2.349039,51.386484,ABSO
,-2.349039,51.386484,ABSO
,-2.349039,51.386484,ABSO
,-2.349039,51.386484,ABSO
,-2.349039,51.386484,ABSO
,-2.349039,51.386484,ABSO
,-2.349039,51.386484,ABSO
,-2.349039,51.386484,ABSO
,-2.351319,51.382063,ABSO
,-2.351319,51.382063,Burglary
,-2.349449,51.383714,Other theft
,-2.350543,51.380141,Vehicle crime
,-2.349914,51.380547,Sex Offence
,-2.357713,51.37646,ABSO
,-2.357713,51.37646,ABSO
,-2.363886,51.377681,ABSO
,-2.366562,51.376342,ABSO
,-2.363886,51.377681,ABSO
,-2.363886,51.377681,ABSO
,-2.363441,51.37592,Bike theft
,-2.367132,51.37581,Burglary
,-2.365045,51.37712,Drugs
